CATEGORY,NAME,STATUS,VOTES,LAST VOTED
Prampram,Naadu,Active,928,2021-10-25 19:12:21
Ga Mashie,Naa Lankai,Active,758,2021-10-25 17:43:57
La,Naa Atswei,Active,237,2021-10-25 08:08:11
Tema,Naa Adjeley,Active,177,2021-10-25 19:15:41
Teshie,Naa Atswei,Active,119,2021-10-25 10:55:18
Osu,Naa Korlei ,Active,91,2021-10-25 21:52:52
Ada,Naana Kabukwor,Active,86,2021-10-25 17:55:09
Nungua,Naa Borley,Active,83,2021-10-25 16:39:53
Shai-Osudoku,Maku,Active,47,2021-10-25 10:14:19
Krobo ,Naana Tettekie,Active,17,2021-10-25 07:42:39
