CATEGORY,NAME,STATUS,VOTES,LAST VOTED
La,Naa Atswei,Active,6000,2021-11-27 21:48:13
Nungua,Naa Borley,Active,5808,2021-11-27 21:36:05
Prampram,Naadu,Active,5623,2021-11-27 21:44:28
Osu,Naa Korlei ,Active,5581,2021-11-27 21:39:35
Teshie,Naa Atswei,Active,2360,2021-11-27 21:38:16
Krobo ,Naana Tettekie,Active,1946,2021-11-27 21:21:41
