CATEGORY,NAME,STATUS,VOTES,LAST VOTED
Nungua,Naa Borley,Active,36285,2021-12-05 00:10:01
Prampram,Naadu,Active,26253,2021-12-05 00:17:44
La,Naa Atswei,Active,13330,2021-12-05 00:10:28
Osu,Naa Korlei ,Active,9017,2021-12-04 23:53:24
Teshie,Naa Atswei,Active,2982,2021-12-04 23:47:13
